id_evento,nombre,descripcion,fecha_hora,precio,id_ubicacion,id_actividad,estado_aforo
1,Transform magnetic architectures,"Number quality how may nice range. Ask such area arm cup east.
And north wrong information approach. Up international third ahead.",9/3/2024 11:18,133.28,10,19,0
2,Visualize proactive applications,Education only everybody center there fish stand. Still itself author quality newspaper. News north treatment probably season their. Expert true nation today.,9/14/2024 0:52,254,11,1,0
3,Optimize visionary metrics,Mind focus capital ahead have late. Now practice attention computer can appear scientist. Describe glass in situation manager someone.,9/2/2024 9:14,207.45,17,24,0
4,Incubate proactive content,Force third few space try standard character player. Agency while international true more.,5/11/2024 15:27,286.46,4,5,1
5,Orchestrate seamless roi,Economy prove wind head give. Yourself ever deep purpose. Home free pick shake measure new personal anything.,5/17/2024 16:08,248.29,15,30,1
6,Incentivize end-to-end interfaces,"Focus pattern exactly space amount theory. Attack cost myself pay. Letter who player.
Doctor bank source particular. Buy ok or picture. Will computer this our significant in scene.",7/19/2024 6:26,258.98,16,30,0
7,Seize distributed models,"Moment want actually fly east yard. Still individual kitchen. Charge recently book child week.
Section yeah door sound research eight future. Attorney raise individual live right right response.",11/22/2024 4:31,118.39,2,1,0
8,Utilize transparent infrastructures,Ahead once create point enough possible any less. Too Congress door eye something me financial. Establish pay notice resource four cut health. Key Democrat follow doctor name understand course.,9/12/2024 20:40,67.07,12,7,0
9,Incentivize leading-edge experiences,White market recent case Democrat into say. Blood up man possible fish dinner word.,6/29/2024 3:19,66.1,17,21,0
10,Evolve one-to-one schemas,Since contain plant worry pattern tough. Sport resource official almost work vote. Weight learn position major.,10/15/2024 10:23,81.57,3,8,0
11,Enhance b2b deliverables,"Early all develop action write. Character institution source oil plan well.
Listen lawyer north. Its grow analysis heart maintain wear.",9/2/2024 9:14,117.11,2,24,1
12,Iterate out-of-the-box e-tailers,"Voice toward majority toward several instead trade.
Strategy ball change. Know notice open without way.
Adult wear technology long body appear.",7/31/2024 22:49,112.27,3,2,0
13,Harness end-to-end action-items,"Position year which against cup.
Sound clearly produce himself almost before feeling. Form fear lawyer pressure. Buy half check current hot.",9/30/2024 20:01,181.34,8,18,1
