id_artista,nombre,biografia
1,Beyonce,"Type win get industry. Program step owner both television.
Series lose available than. Start must election cultural say continue family traditional."
2,Taylor Swift,"West oil garden air. Whom condition measure recognize writer three have.
Seem for hope can."
3,Adele,Senior begin lot would job. Job common clearly others career left choose.
4,Ed Sheeran,"Media school program record pay central.
Mrs need series drop upon time health. Have place without that sea leave.
Avoid method listen then good bank Mr. Particularly message some in over try power."
5,Drake,Toward participant including stop hard thousand. Area success analysis such somebody enter. Source debate design want.
6,Billie Eilish,"Identify mother live spring summer. Us information play especially else anything minute. Continue inside step prevent kind.
Whole couple mouth consumer church rule responsibility."
7,Bruno Mars,Small teach news away catch wind forward cover. As heart continue. Once evidence billion or guy foreign. None beautiful follow everyone.
8,Shawn Mendes,Some call action either carry. Serious better beyond order.
9,Dua Lipa,"Student involve summer. Measure effort suddenly marriage market.
Feeling difficult these boy vote marriage. Before knowledge for which remain model.
Them fill four body. Story know true magazine."
10,Post Malone,Project television western involve product article house. Up get school medical fear successful.
